age,weight,height,arm_span,wins_count,wins_knockouts_count,wins_submissions_count,wins_judges_decisions_count,defeats_count,defeats_knockouts_count,defeats_submissions_count,defeats_judges_decisions_count
32,70,178,179,25,5,11,9,1,1,0,0
31,93,183,193,17,9,4,4,2,1,0,1
33,66,160,168,37,18,4,15,11,1,4,6
0,56,158,0,12,3,8,1,8,3,5,0
30,113,187,187,14,10,2,2,4,0,1,3
23,57,168,0,11,8,1,2,1,0,0,1
40,70,180,180,48,4,31,13,11,9,0,2
29,187,70,192,10,7,1,2,0,0,0,0
26,61,170,0,14,12,1,1,2,0,1,1
26,62,173,0,14,7,3,4,2,1,1,0
0,77,183,0,10,5,1,4,3,0,2,1
23,77,188,0,6,2,0,4,0,0,0,0
25,70,180,0,12,3,4,5,1,0,0,1
29,84,183,188,19,14,1,4,6,1,4,1
33,93,193,196,9,6,1,2,1,1,0,0
25,77,170,170,7,4,3,0,0,0,0,0
23,70,177,0,9,4,3,2,1,0,0,1
28,61,170,184,10,2,7,1,2,1,1,0
36,56,168,0,10,5,1,4,3,1,0,2
33,61,162,167,23,6,11,6,13,4,5,4
30,84,183,191,12,2,8,2,2,1,1,0
34,109,188,0,15,14,0,1,7,2,3,2
26,77,183,184,15,3,12,0,1,1,0,0
28,70,175,180,19,9,4,6,4,0,4,0
32,119,193,198,11,5,1,5,1,0,0,1
32,84,191,191,15,10,3,2,5,3,0,2
36,115,191,0,13,9,2,2,9,5,2,2
36,93,183,193,15,10,3,2,3,1,0,2
35,84,188,199,15,10,2,3,6,2,2,2
0,57,160,0,7,1,3,3,0,0,0,0
33,77,177,181,2,2,0,0,0,0,0,0
27,90,194,0,3,2,0,1,0,0,0,0
30,83,182,0,9,5,2,2,5,2,3,0
33,66,173,0,15,10,1,4,2,1,1,0
29,70,173,0,17,10,3,4,7,5,0,2
28,70,178,183,16,10,0,6,5,1,1,3
32,91,196,0,13,8,0,5,1,0,0,1
24,57,168,0,7,2,3,2,1,0,0,1
29,71,173,0,13,5,0,8,4,0,2,2
35,117,200,0,4,4,0,0,0,0,0,0
37,70,177,180,31,11,9,11,14,5,2,8
29,77,180,183,19,5,8,6,7,1,3,3
28,83,187,200,9,7,1,1,1,0,0,1
25,61,177,179,7,5,1,1,0,0,0,0
30,79,182,183,2,0,2,0,0,0,0,0
38,70,175,188,14,12,2,0,4,2,1,1
30,61,170,172,17,3,6,8,4,1,0,3
37,70,172,178,12,2,7,3,5,0,0,5
30,93,187,189,8,5,1,2,0,0,0,0
29,66,173,0,23,6,10,7,1,0,0,1
34,119,203,216,13,11,1,1,3,1,1,1
28,70,173,173,2,1,0,1,1,0,0,1
57,80,183,0,15,2,11,2,2,2,0,0
29,66,173,175,23,11,8,4,4,1,1,2
29,66,173,175,14,9,4,1,3,1,2,0
24,70,185,188,13,4,6,3,3,1,0,2
28,70,180,185,13,4,9,0,1,0,0,1
53,90,182,196,55,40,0,15,9,4,0,5
57,90,178,180,50,44,0,6,6,5,0,1
82,90,191,198,56,37,0,19,5,0,0,5
61,102,189,198,44,29,0,15,10,3,0,7
27,55,173,0,18,15,0,3,2,0,0,2
31,50,164,0,13,10,0,3,1,0,0,1
29,66,173,0,16,7,7,2,3,1,1,1
23,77,191,0,16,11,1,4,0,0,0,0
26,77,178,0,12,6,5,1,1,0,0,1
33,47,162,0,40,24,0,16,0,0,0,0
31,70,183,0,21,15,0,6,0,0,0,0
28,70,183,185,23,23,0,0,1,1,0,0
30,67,176,0,14,9,0,5,0,0,0,0
37,70,172,184,14,2,7,5,9,2,4,3
26,59,169,173,34,31,0,3,2,2,0,0
34,119,190,199,12,8,3,1,1,1,0,0
27,58,173,184,24,18,0,6,1,0,0,1
27,48,157,159,8,6,0,2,0,0,0,0
22,70,187,0,5,0,5,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0
30,61,175,182,14,3,6,5,2,1,1,0
26,91,196,199,19,18,0,1,2,2,0,0
36,91,198,0,20,15,0,5,1,1,0,0
40,91,185,186,28,17,0,11,3,1,0,2
27,57,165,165,17,5,7,5,5,1,2,2
32,70,178,0,14,4,2,8,4,1,1,2
29,62,178,183,14,2,9,3,6,0,0,6
33,57,163,157,14,6,1,7,6,0,3,3
21,70,180,193,12,6,6,0,1,0,0,1
28,79,181,0,7,2,0,5,0,0,0,0
39,79,185,189,13,8,0,5,0,0,0,0
55,91,191,201,39,28,0,9,7,7,0,0
58,116,196,213,41,32,0,9,2,2,0,0
43,73,180,178,20,15,0,5,0,0,0,0
54,64,170,171,31,25,0,6,2,2,0,0
44,91,188,191,36,25,0,11,3,2,0,1
123,91,197,199,26,14,0,12,1,0,0,1
26,69,177,178,7,6,0,1,0,0,0,0
43,63,173,175,30,25,0,5,3,1,0,2
40,91,183,184,35,29,0,6,4,3,0,1
27,91,185,193,9,6,0,3,1,0,0,1
39,91,192,0,34,20,0,14,4,3,0,1
34,90,197,0,18,17,0,1,1,1,0,0
30,79,182,0,11,7,0,4,0,0,0,0
27,76,180,180,17,12,0,5,0,0,0,0
28,76,185,173,19,14,0,5,1,1,0,0
26,72,182,189,20,12,0,8,0,0,0,0
28,72,185,183,22,14,0,8,1,0,0,1
32,61,170,173,6,3,0,3,0,0,0,0
28,59,165,0,21,11,0,10,1,0,0,1
44,90,180,182,33,23,0,10,3,0,0,3
29,0,0,0,20,12,0,8,1,1,0,0
30,57,163,169,29,16,0,13,2,0,0,2
44,90,186,193,40,28,0,12,1,1,0,0
50,150,213,216,50,34,0,16,2,0,0,2
37,109,180,188,25,3,12,10,13,6,0,7
27,77,180,185,16,11,2,3,2,1,1,0
28,76,173,0,23,7,0,16,0,0,0,0
